 #  ,  Seconds
 1  ,  .120
 2  ,  .096
 3  ,  .097
 4  ,  .092
 5  ,  .091
 6  ,  .094
 7  ,  .097
 8  ,  .094
 9  ,  .090
 10  ,  .093
 11  ,  .099
 12  ,  .093
 13  ,  .097
 14  ,  .091
 15  ,  .090
 16  ,  .090
 17  ,  .091
 18  ,  .099
 19  ,  .101
 20  ,  .094
 21  ,  .091
 22  ,  .091
 23  ,  .098
 24  ,  .100
 25  ,  .090
 26  ,  .094
 27  ,  .101
 28  ,  .112
 29  ,  .145
 30  ,  .086
 31  ,  .125
 32  ,  .065
 33  ,  .065
 34  ,  .059
 35  ,  .103
 36  ,  .090
 37  ,  .062
 38  ,  .059
 39  ,  .063
 40  ,  .059
 41  ,  .066
 42  ,  .058
 43  ,  .058
 44  ,  .058
 45  ,  .058
 46  ,  .058
 47  ,  .058
 48  ,  .066
 49  ,  .058
 50  ,  .058
 51  ,  .058
 52  ,  .058
 53  ,  .057
 54  ,  .058
 55  ,  .058
 56  ,  .058
 57  ,  .057
 58  ,  .058
 59  ,  .066
 60  ,  .061
 61  ,  .059
 62  ,  .058
 63  ,  .058
 64  ,  .058
 65  ,  .059
 66  ,  .057
 67  ,  .058
 68  ,  .058
 69  ,  .063
 70  ,  .058
 71  ,  .058
 72  ,  .059
 73  ,  .058
 74  ,  .058
 75  ,  .058
 76  ,  .058
 77  ,  .062
 78  ,  .057
 79  ,  .063
 80  ,  .058
 81  ,  .058
 82  ,  .057
 83  ,  .058
 84  ,  .058
 85  ,  .058
 86  ,  .059
 87  ,  .058
 88  ,  .058
 89  ,  .063
 90  ,  .058
 91  ,  .058
 92  ,  .057
 93  ,  .059
 94  ,  .067
 95  ,  .059
 96  ,  .058
 97  ,  .058
 98  ,  .058
 99  ,  .057
 100  ,  .058
 101  ,  .058
 102  ,  .057
 103  ,  .058
 104  ,  .107
 105  ,  .079
 106  ,  .062
 107  ,  .058
 108  ,  .058
 109  ,  .061
 110  ,  .058
 111  ,  .058
